
# ignored species : 2

# ../ens_synthelogs.pl -d Plants -c Brassicaceae -r arabidopsis_thaliana -o  -f  -a 1 -t protein -G 75 -L 0

# supported species in NCBI taxon Brassicaceae : 4

# total selected species : 4

# re-using /homes/bcontreras/plant_tools/compara/downloads/Compara.100.protein_default.homologies.arabidopsis_thaliana.tsv.gz

# re-using /homes/bcontreras/plant_tools/compara/downloads/Arabidopsis_thaliana.TAIR10.47.gtf.gz

gene	location	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	arabidopsis_thaliana
AT2G35140	2:14813391-14816808:+	fgenesh2_kg.4__1539__AT2G35140.1	Bra005365.1-P	Bo4g038990.1	AT2G35140.6
AT2G35150	2:14817047-14818211:-	fgenesh2_kg.4__1540__AT2G35150.1	Bra005364.1-P	Bo4g038980.1	AT2G35150.1
AT2G35155	2:14818966-14822022:-	scaffold_402112.1	Bra005363.1-P	Bo4g038970.1	AT2G35155.2
AT2G35160	2:14822774-14826194:+	scaffold_402114.1	Bra005362.1-P	Bo4g038960.1	AT2G35160.3
AT2G35170	2:14827360-14829844:+	fgenesh2_kg.4__1543__AT2G35170.1	NA	NA	AT2G35170.1
AT2G35190	2:14830626-14833417:+	fgenesh2_kg.4__1544__AT2G35190.1	Bra005361.1-P	Bo4g038940.1	AT2G35190.1
AT2G35200	2:14833848-14834666:+	fgenesh2_kg.4__1545__AT2G35200.1	Bra005360.1-P	NA	AT2G35200.1
AT2G35210	2:14836062-14838151:+	scaffold_402119.1	NA	NA	AT2G35210.1
AT2G35215	2:14839027-14839916:+	scaffold_402121.1	Bra005359.1-P	Bo4g183120.1	AT2G35215.1
AT2G35230	2:14842291-14844465:+	fgenesh2_kg.4__1549__AT2G35230.1	Bra017329.1-P,Bra005358.1-P	Bo4g183130.1	AT2G35230.1
AT2G35240	2:14844896-14846359:-	scaffold_402124.1	Bra005357.1-P,Bra017328.1-P	Bo4g038800.1,Bo4g183140.1	AT2G35240.1
AT2G35250	2:14846653-14848662:-	Al_scaffold_0004_2018,fgenesh1_pg.C_scaffold_4001602	Bra017327.1-P,Bra017325.1-P,Bra017326.1-P	NA	AT2G35250.1
AT2G35260	2:14849357-14852045:+	Al_scaffold_0004_2020	Bra005356.1-P	Bo3g028240.1,Bo4g038770.1	AT2G35260.1
AT2G35270	2:14856664-14858134:+	fgenesh2_kg.4__1552__AT2G35270.1	Bra017324.1-P,Bra005355.1-P	Bo4g038760.1	AT2G35270.1
AT2G35290	2:14861199-14862178:-	fgenesh2_kg.4__1553__AT2G35290.1	Bra005354.1-P	Bo4g038750.1	AT2G35290.1
AT2G35300	2:14862779-14863412:-	fgenesh2_kg.4__1554__AT2G35300.1	Bra005353.1-P	Bo4g038740.1	AT2G35300.1
AT2G35310	2:14864723-14866736:+	fgenesh2_kg.4__1555__AT2G35310.1	NA	NA	AT2G35310.1
AT2G35320	2:14866832-14868881:-	Al_scaffold_0004_2025	NA	NA	AT2G35320.1
AT2G35330	2:14868861-14871994:+	NA	NA	Bo4g038730.1	AT2G35330.1
AT2G35340	2:14872265-14879739:+	fgenesh1_pg.C_scaffold_4001609	NA	NA	AT2G35340.1
AT2G35350	2:14881039-14884283:-	fgenesh2_kg.4__1558__AT2G35350.1	Bra005350.1-P	Bo4g038710.1	AT2G35350.1
AT2G35360	2:14889048-14891004:-	fgenesh2_kg.4__1559__AT2G35360.1	Bra005348.1-P	Bo4g038700.1	AT2G35360.1
AT2G35370	2:14891041-14892298:+	fgenesh2_kg.4__1560__AT2G35370.1	Bra005347.1-P	Bo4g038690.1	AT2G35370.1
AT2G35380	2:14892495-14893993:+	NA	Bra005346.1-P	Bo4g038680.1	AT2G35380.1
AT2G35390	2:14895248-14897882:-	Al_scaffold_0004_2035	Bra005344.1-P	Bo4g038650.1	AT2G35390.2
AT2G35410	2:14898256-14899750:+	fgenesh2_kg.4__1566__AT2G35410.1	NA	NA	AT2G35410.1
AT2G35420	2:14899715-14900692:-	fgenesh2_kg.4__1567__AT2G35420.1	Bra005343.1-P	Bo4g038640.1	AT2G35420.1
AT2G35430	2:14900704-14902385:-	fgenesh1_pm.C_scaffold_4001312	Bra005342.1-P	NA	AT2G35430.1
AT2G35450	2:14902444-14905388:-	fgenesh2_kg.4__1568__AT2G35450.1	Bra005341.1-P	Bo4g038630.1	AT2G35450.1
AT2G35460	2:14905788-14906504:+	scaffold_402153.1	Bra005340.1-P	Bo4g038620.1	AT2G35460.1
AT2G35470	2:14908487-14909863:-	fgenesh2_kg.4__1569__AT2G35470.1	Bra005339.1-P	Bo4g038610.1	AT2G35470.1
AT2G35480	2:14910343-14912048:+	scaffold_402155.1	Bra005338.1-P	Bo4g038600.1	AT2G35480.1
AT2G35490	2:14912098-14913894:-	scaffold_402156.1	Bra005337.1-P	Bo4g038590.1	AT2G35490.1
AT2G35500	2:14913937-14916668:+	fgenesh2_kg.4__1570__AT2G35500.1	NA	NA	AT2G35500.1
AT2G35510	2:14916690-14920482:-	fgenesh2_kg.4__1571__AT2G35510.1	Bra005336.1-P	Bo4g038570.1	AT2G35510.3
AT2G35520	2:14921473-14923025:+	Al_scaffold_0004_2048	NA	NA	AT2G35520.2
AT2G35530	2:14922836-14926609:-	fgenesh2_kg.4__1572__AT2G35530.1	Bra005335.1-P	Bo4g038560.1	AT2G35530.1
AT2G35540	2:14927071-14929134:+	fgenesh2_kg.4__1573__AT2G35540.1	Bra005331.1-P	NA	AT2G35540.1
AT2G35550	2:14929243-14930898:+	fgenesh2_kg.4__1574__AT2G35550.4	NA	NA	AT2G35550.1
AT2G35580	2:14933828-14935482:-	NA	Bra005328.1-P	NA	AT2G35580.1
AT2G35585	2:14936565-14938032:+	scaffold_402164.1	Bra005327.1-P	NA	AT2G35585.1
AT2G35600	2:14940774-14945357:-	scaffold_402165.1	Bra005326.1-P	Bo4g038370.1	AT2G35600.3
AT2G35605	2:14946041-14947276:+	fgenesh2_kg.4__1578__AT2G35605.1	NA	NA	AT2G35605.1
AT2G35610	2:14947343-14951372:-	scaffold_402167.1	Bra017310.1-P	Bo4g038360.1	AT2G35610.1
AT2G35612	2:14954883-14955605:-	scaffold_402168.1	Bra017309.1-P,Bra005324.1-P	Bo4g183400.1,Bo4g038350.1	AT2G35612.1
AT2G35615	2:14959386-14960828:+	scaffold_402170.1	Bra017308.1-P,Bra005321.1-P	Bo4g183410.1,Bo4g037340.1	AT2G35615.1
AT2G35620	2:14960851-14965497:-	scaffold_402171.1	Bra017307.1-P,Bra005319.1-P,Bra023017.1-P	Bo3g028390.1,Bo4g037330.1	AT2G35620.3
AT2G35630	2:14966574-14980761:+	fgenesh2_kg.4__1583__AT2G35630.1	Bra023018.1-P	Bo3g028400.1,Bo4g036300.1	AT2G35630.1
AT2G35635	2:14980891-14982500:+	fgenesh2_kg.4__1584__AT2G35635.1	NA	NA	AT2G35635.1
AT2G35650	2:14985470-14988362:+	fgenesh2_kg.4__1586__AT2G35650.1	Bra023020.1-P,Bra017305.1-P	NA	AT2G35650.1
AT2G35660	2:14988437-14990426:+	fgenesh2_kg.4__1589__AT2G35660.1	NA	NA	AT2G35660.1
AT2G35658	2:14990325-14990935:-	fgenesh1_pm.C_scaffold_4001337	NA	NA	AT2G35658.2
AT2G35680	2:14996713-14999125:-	scaffold_402179.1	Bra023024.1-P	Bo3g028480.1,Bo4g036230.1	AT2G35680.1
AT2G35690	2:14999726-15003073:+	scaffold_402180.1	NA	NA	AT2G35690.1
AT2G35700	2:15005064-15006034:+	fgenesh2_kg.4__1597__AT2G35700.1	Bra017302.1-P,Bra005314.1-P	NA	AT2G35700.1
AT2G35710	2:15010707-15014284:-	fgenesh2_kg.4__1599__AT2G35710.1	Bra017301.1-P	NA	AT2G35710.1
AT2G35720	2:15016656-15020111:+	fgenesh2_kg.4__1601__AT2G35720.1	Bra017300.1-P	Bo4g184560.1	AT2G35720.1
AT2G35730	2:15020398-15021598:-	fgenesh2_kg.4__1602__AT2G35730.1	Bra017299.1-P	Bo4g184570.1	AT2G35730.1
AT2G35736	2:15022582-15023364:-	scaffold_402186.1	Bra017298.1-P	Bo4g184580.1	AT2G35736.2
AT2G35740	2:15024489-15026626:-	fgenesh2_kg.4__1606__AT2G35740.1	Bra017297.1-P	Bo4g184590.1	AT2G35740.1
AT2G35760	2:15031679-15033342:+	fgenesh2_kg.4__1607__AT2G35760.1	Bra017296.1-P	Bo4g184610.1	AT2G35760.1
AT2G35765	2:15033537-15034091:+	fgenesh2_kg.4__1608__AT2G35765.1	Bra017295.1-P	Bo4g184620.1	AT2G35765.1
AT2G35770	2:15034037-15036556:-	fgenesh1_pm.C_scaffold_4001347	Bra017294.1-P	Bo4g184630.1	AT2G35770.1
AT2G35780	2:15037579-15040298:-	fgenesh2_kg.4__1610__AT2G35780.1	Bra017293.1-P	Bo4g184650.1	AT2G35780.1
AT2G35790	2:15040669-15042123:+	scaffold_402193.1	Bra017292.1-P	Bo4g184660.1	AT2G35790.1
AT2G35795	2:15042175-15043575:+	fgenesh2_kg.4__1611__AT2G35795.1	NA	NA	AT2G35795.1
AT2G35800	2:15043973-15048611:+	fgenesh2_kg.4__1612__AT2G35800.1	Bra023031.1-P,Bra017291.1-P	Bo3g028560.1,Bo4g184670.1	AT2G35800.1
AT2G35810	2:15048885-15050323:+	scaffold_402197.1	Bra017290.1-P	Bo4g184680.1	AT2G35810.1
AT2G35820	2:15050498-15052239:+	scaffold_402196.1	Bra017290.1-P	Bo4g184680.1	AT2G35820.2
AT2G35830	2:15052199-15053276:+	scaffold_402197.1	Bra017290.1-P	Bo4g184680.1	AT2G35830.2
AT2G35840	2:15053483-15057426:+	scaffold_402198.1	Bra017287.1-P,Bra023033.1-P	Bo3g028580.1,Bo4g184710.1	AT2G35840.4
AT2G35850	2:15056753-15056995:+	fgenesh2_kg.4__1616__AT2G35850.1	Bra017286.1-P	Bo4g184720.1	AT2G35850.1
AT2G35860	2:15059763-15062122:+	Al_scaffold_0004_2086	Bra017285.1-P,Bra023035.1-P	Bo4g184730.1,Bo3g028600.1	AT2G35860.1
AT2G35880	2:15062856-15066056:-	fgenesh2_kg.4__1618__AT2G35880.1	Bra023036.1-P	Bo3g028610.1	AT2G35880.3
AT2G35890	2:15066614-15069359:-	fgenesh1_pg.C_scaffold_4001663	Bra017283.1-P	Bo4g184760.1	AT2G35890.2
AT2G35900	2:15069872-15071829:-	scaffold_402203.1	Bra023040.1-P	NA	AT2G35900.1
AT2G35910	2:15072887-15074140:-	fgenesh2_kg.4__1621__AT2G35910.1	Bra017280.1-P	Bo4g184800.1	AT2G35910.1
AT2G35930	2:15082855-15084559:-	fgenesh2_kg.4__1623__AT2G35930.1	Bra023044.1-P,Bra017278.1-P	Bo4g185810.1	AT2G35930.1
AT2G35940	2:15088762-15092415:-	fgenesh2_kg.4__1624__AT2G35940.3	Bra017277.1-P	Bo4g185820.1	AT2G35940.3
AT2G35950	2:15104716-15106119:+	fgenesh1_pg.C_scaffold_4001670	NA	NA	AT2G35950.2
AT2G35960	2:15106940-15108086:+	fgenesh2_kg.4__1627__AT2G35960.1	Bra017276.1-P	Bo4g185830.1	AT2G35960.1
AT2G35970	2:15109007-15109773:+	fgenesh2_kg.4__1627__AT2G35960.1	Bra017276.1-P	Bo4g185830.1	AT2G35970.1
AT2G35980	2:15110492-15111539:+	fgenesh2_kg.4__1628__AT2G35980.1	Bra017272.1-P	Bo3g029860.1,Bo4g185870.1	AT2G35980.1
AT2G35990	2:15112084-15116776:+	fgenesh2_kg.4__1630__AT2G35990.1	Bra017270.1-P	Bo4g185890.1,Bo3g029870.1	AT2G35990.1
AT2G36000	2:15117015-15119043:+	fgenesh2_kg.4__1631__AT2G36000.1	Bra017269.1-P	Bo4g185900.1	AT2G36000.1
AT2G36010	2:15119516-15123184:+	fgenesh2_kg.4__1634__AT2G36010.3	Bra017268.1-P	Bo4g185910.1	AT2G36010.2
AT2G36020	2:15123120-15125588:-	fgenesh2_kg.4__1636__AT2G36020.1	NA	NA	AT2G36020.1
AT2G36026	2:15127265-15127816:+	Al_scaffold_0004_2102	Bra017266.1-P	Bo4g185940.1	AT2G36026.1
AT2G36050	2:15135568-15137012:-	fgenesh2_kg.4__1639__AT2G36050.1	NA	NA	AT2G36050.1
AT2G36060	2:15142653-15144221:-	fgenesh2_kg.4__1641__AT2G36060.2	NA	NA	AT2G36060.2
AT2G36070	2:15144795-15148223:-	fgenesh2_kg.4__1643__AT2G36070.1	NA	NA	AT2G36070.1
AT2G36080	2:15148259-15151634:-	scaffold_402221.1	NA	NA	AT2G36080.1
AT2G36090	2:15158561-15159639:+	fgenesh2_kg.4__1645__AT2G36090.1	NA	Bo4g035080.1	AT2G36090.1
AT2G36100	2:15159591-15160799:-	fgenesh2_kg.4__1646__AT2G36100.1	NA	Bo4g035060.1,Bo4g035070.1	AT2G36100.1
AT2G36110	2:15161702-15162790:+	Al_scaffold_0004_2109	NA	NA	AT2G36110.1
AT2G36120	2:15165213-15166536:+	fgenesh2_kg.4__1647__AT2G36120.1	NA	Bo4g035050.1	AT2G36120.1
AT2G36130	2:15166720-15168497:+	fgenesh1_pg.C_scaffold_4001686	NA	Bo4g035010.1	AT2G36130.1
AT2G36145	2:15168533-15169514:+	fgenesh2_kg.4__1650__AT2G36145.1	NA	NA	AT2G36145.1
AT2G36160	2:15169818-15171459:+	fgenesh2_kg.4__1651__AT2G36160.1	NA	NA	AT2G36160.1
AT2G36180	2:15173652-15174216:-	scaffold_402230.1	NA	NA	AT2G36180.1
AT2G36190	2:15174624-15178086:-	scaffold_402231.1	NA	Bo4g186030.1,Bo3g029970.1	AT2G36190.1
AT2G36200	2:15179817-15185405:-	fgenesh2_kg.4__1653__AT2G36200.1	NA	Bo4g186040.1	AT2G36200.2
AT2G36210	2:15186040-15186852:-	scaffold_402233.1	Bra005293.1-P,Bra017254.1-P,Bra017255.1-P	Bo4g186060.1,Bo4g034970.1,Bo4g186050.1	AT2G36210.1
AT2G36220	2:15192480-15193698:+	fgenesh2_kg.4__1654__AT2G36220.1	Bra005291.1-P	Bo4g034960.1	AT2G36220.1
AT2G36230	2:15193694-15195558:-	scaffold_402235.1	Bra005290.1-P	Bo4g034950.1	AT2G36230.1
AT2G36240	2:15195608-15197332:+	scaffold_402236.1	Bra005289.1-P	NA	AT2G36240.1
AT2G36250	2:15197369-15200603:-	scaffold_402237.1	NA	NA	AT2G36250.3
AT2G36255	2:15201242-15201824:-	Al_scaffold_0004_2123	NA	NA	AT2G36255.1
AT2G36270	2:15204659-15207636:-	fgenesh1_pm.C_scaffold_4001389	Bra005287.1-P	NA	AT2G36270.3
AT2G36290	2:15208498-15211034:-	fgenesh2_kg.4__1660__AT2G36290.1	NA	NA	AT2G36290.1
AT2G36295	2:15211514-15212400:+	fgenesh2_kg.4__1661__AT2G36295.1	NA	NA	AT2G36295.1
AT2G36300	2:15212970-15214340:-	fgenesh2_kg.4__1662__AT2G36300.1	Bra005285.1-P	Bo4g034850.1	AT2G36300.1
AT2G36305	2:15214386-15216613:+	fgenesh2_kg.4__1663__AT2G36305.1	NA	NA	AT2G36305.1
AT2G36310	2:15224497-15227276:-	fgenesh2_kg.4__1665__AT2G36310.1	Bra005283.1-P	Bo4g034820.1	AT2G36310.1
AT2G36320	2:15228714-15230663:+	scaffold_402246.1	Bra005282.1-P,Bra023061.1-P	Bo3g030050.1	AT2G36320.1
AT2G36325	2:15231346-15233281:+	fgenesh2_kg.4__1666__AT2G36325.1	NA	NA	AT2G36325.1
AT2G36330	2:15233500-15235528:+	fgenesh2_kg.4__1667__AT2G36330.1	Bra005281.1-P	NA	AT2G36330.1
AT2G36350	2:15238093-15242195:+	fgenesh2_kg.4__1668__AT2G36350.1	NA	NA	AT2G36350.1
AT2G36355	2:15242323-15243492:+	fgenesh2_kg.4__1669__AT2G36355.1	NA	NA	AT2G36355.1
AT2G36360	2:15242904-15247695:-	fgenesh1_pm.C_scaffold_4001402	Bra005274.1-P,Bra005272.1-P	NA	AT2G36360.4
AT2G36370	2:15247768-15252980:+	Al_scaffold_0004_2138	NA	NA	AT2G36370.1
AT2G36380	2:15257418-15263808:+	fgenesh2_kg.4__1673__AT2G36380.1	NA	NA	AT2G36380.1
AT2G36390	2:15264211-15270092:+	fgenesh1_pm.C_scaffold_4001405	Bra005269.1-P	NA	AT2G36390.1
AT2G36400	2:15270088-15273115:-	fgenesh2_kg.4__1676__AT2G36400.1	Bra005268.1-P	Bo4g186220.1	AT2G36400.1
AT2G36410	2:15278517-15280726:+	fgenesh2_kg.4__1677__AT2G36410.1	NA	Bo4g186260.1	AT2G36410.1
AT2G36420	2:15286121-15289107:+	fgenesh2_kg.4__1680__AT2G36420.1	Bra023069.1-P,Bra017237.1-P	Bo3g030120.1,Bo4g186280.1	AT2G36420.1
AT2G36430	2:15289975-15291763:+	scaffold_402262.1	Bra017236.1-P	Bo4g034620.1	AT2G36430.1
AT2G36440	2:15292538-15292917:+	fgenesh2_kg.4__1682__AT2G36440.1	NA	Bo4g034610.1,Bo3g030130.1	AT2G36440.1
AT2G36450	2:15294303-15294857:-	scaffold_402264.1	Bra017235.1-P,Bra023070.1-P	Bo4g034600.1,Bo3g030140.1	AT2G36450.1
AT2G36460	2:15296613-15298754:-	fgenesh2_kg.4__1685__AT2G36460.1	NA	NA	AT2G36460.1
AT2G36470	2:15299067-15301026:-	fgenesh2_kg.4__1686__AT2G36470.1	NA	NA	AT2G36470.1
AT2G36480	2:15302867-15307809:-	fgenesh2_kg.4__1687__AT2G36480.1	NA	NA	AT2G36480.1
AT2G36490	2:15307907-15314807:-	fgenesh2_kg.4__1689__AT2G36490.1	NA	NA	AT2G36490.1
AT2G36500	2:15317873-15320175:+	fgenesh2_kg.4__1690__AT2G36500.1	Bra005263.1-P	Bo4g186320.1	AT2G36500.1
AT2G36530	2:15320756-15324129:-	scaffold_402272.1	Bra005261.1-P	Bo4g186340.1	AT2G36530.1
AT2G36540	2:15325237-15326449:+	fgenesh2_kg.4__1692__AT2G36540.1	NA	NA	AT2G36540.1
AT2G36560	2:15329138-15332447:-	fgenesh2_kg.4__1693__AT2G36560.1	NA	NA	AT2G36560.1
AT2G36570	2:15335284-15337995:+	fgenesh1_pm.C_scaffold_4001421	NA	NA	AT2G36570.1
AT2G36580	2:15339122-15343086:+	scaffold_402276.1	NA	NA	AT2G36580.1
AT2G36590	2:15343006-15345673:-	fgenesh2_kg.4__1696__AT2G36590.1	NA	NA	AT2G36590.1
AT2G36610	2:15349211-15350290:+	Al_scaffold_0004_2163	NA	NA	AT2G36610.1
AT2G36620	2:15350268-15352013:-	fgenesh2_kg.4__1700__AT2G36620.1	Bra005258.1-P	NA	AT2G36620.1
AT2G36630	2:15352491-15355330:-	scaffold_402281.1	Bra005257.1-P	NA	AT2G36630.1
AT2G36640	2:15356830-15358619:-	fgenesh2_kg.4__1702__AT2G36640.1	NA	NA	AT2G36640.1
AT2G36650	2:15359906-15361328:+	Al_scaffold_0004_2167	Bra005255.1-P	NA	AT2G36650.1
AT2G36660	2:15361321-15364398:-	fgenesh2_kg.4__1704__AT2G36660.1	NA	NA	AT2G36660.1
AT2G36670	2:15364776-15368169:-	fgenesh2_kg.4__1705__AT2G36670.1	NA	NA	AT2G36670.1
AT2G36680	2:15368792-15371033:-	Al_scaffold_0004_2170	NA	Bo4g032350.1	AT2G36680.1
AT2G36740	2:15406622-15409912:-	fgenesh2_kg.4__1717__AT2G36740.1	NA	NA	AT2G36740.1
AT2G36750	2:15410376-15412064:-	fgenesh2_kg.4__1718__AT2G36750.1	NA	NA	AT2G36750.1
AT2G36770	2:15415077-15416845:-	scaffold_402300.1	NA	NA	AT2G36770.1
AT2G36780	2:15417364-15419391:-	scaffold_402300.1	NA	NA	AT2G36780.1
AT2G36800	2:15423172-15425129:-	fgenesh2_kg.4__1720__AT2G36800.1	NA	NA	AT2G36800.1
AT2G36810	2:15425321-15439642:-	fgenesh2_kg.4__1721__AT2G36810.1	NA	Bo4g186410.1	AT2G36810.1
AT2G36830	2:15445294-15446621:+	fgenesh2_kg.4__1723__AT2G36830.1	NA	NA	AT2G36830.1
AT2G36835	2:15449580-15451532:-	fgenesh2_kg.4__1724__AT2G36835.1	NA	NA	AT2G36835.1
AT2G36840	2:15451520-15453819:-	fgenesh2_kg.4__1725__AT2G36840.1	Bra017221.1-P	Bo4g186430.1	AT2G36840.1
AT2G36850	2:15454671-15469964:-	fgenesh2_kg.4__1726__AT2G36850.1	Bra005239.1-P	NA	AT2G36850.1
AT2G36870	2:15472607-15474828:-	fgenesh2_kg.4__1727__AT2G36870.1	Bra005238.1-P	Bo4g031120.1,Bo4g186440.1	AT2G36870.1
AT2G36880	2:15479281-15481412:-	scaffold_402310.1	Bra005236.1-P,Bra017219.1-P	Bo4g031090.1,Bo4g186450.1	AT2G36880.1
AT2G36885	2:15482003-15483788:-	fgenesh2_kg.4__1730__AT2G36885.1	Bra005235.1-P	Bo4g031080.1	AT2G36885.1
AT2G36890	2:15485619-15487451:+	fgenesh2_kg.4__1732__AT2G36890.1	Bra017218.1-P,Bra005234.1-P,Bra023085.1-P	Bo4g031070.1,Bo4g186460.1	AT2G36890.2
AT2G36895	2:15488535-15490449:-	fgenesh1_pm.C_scaffold_4001451	Bra017217.1-P	Bo4g186470.1	AT2G36895.3
AT2G36900	2:15490560-15492822:-	NA	Bra005233.1-P	NA	AT2G36900.1
AT2G36910	2:15501726-15507501:+	scaffold_402318.1	Bra023087.1-P,Bra017216.1-P	Bo4g186480.1,Bo3g031410.1	AT2G36910.1
AT2G36920	2:15508798-15509850:+	fgenesh2_kg.4__1735__AT2G36920.1	NA	NA	AT2G36920.1
AT2G36930	2:15509898-15511607:-	fgenesh1_pg.C_scaffold_4001761	Bra005232.1-P,Bra023088.1-P	Bo4g031050.1	AT2G36930.1
AT2G36950	2:15514923-15517002:+	fgenesh2_kg.4__1736__AT2G36950.1	Bra005231.1-P	Bo4g031020.1	AT2G36950.1
AT2G36960	2:15522769-15527758:+	scaffold_402323.1	Bra005230.1-P	Bo4g031010.1	AT2G36960.3
AT2G36970	2:15528877-15530779:+	fgenesh1_pm.C_scaffold_4001457	Bra005229.1-P,Bra005227.1-P	Bo4g030990.1,Bo4g031000.1	AT2G36970.1
AT2G36980	2:15530814-15533265:+	fgenesh2_kg.4__1740__AT2G36980.1	NA	NA	AT2G36980.1
AT2G36985	2:15534739-15535304:-	fgenesh2_kg.4__1741__AT2G36985.1	Bra005225.1-P	NA	AT2G36985.1
AT2G36990	2:15537225-15540139:-	fgenesh2_kg.4__1742__AT2G36990.1	NA	NA	AT2G36990.1
AT2G37000	2:15540246-15541248:+	fgenesh2_kg.4__1743__AT2G37000.1	NA	NA	AT2G37000.1
AT2G37010	2:15541389-15546285:+	fgenesh2_kg.4__1744__AT2G37010.1	NA	NA	AT2G37010.1
AT2G37020	2:15546414-15549039:+	Al_scaffold_0004_2216	NA	NA	AT2G37020.3
AT2G37025	2:15549052-15552160:+	fgenesh2_kg.4__1746__AT2G37025.1	NA	NA	AT2G37025.2
AT2G37030	2:15553651-15554332:+	fgenesh2_kg.4__1748__AT2G37030.1	NA	NA	AT2G37030.1
AT2G37035	2:15554917-15556835:-	fgenesh2_kg.4__1749__AT2G37035.1	Bra005222.1-P	Bo4g030920.1	AT2G37035.1
AT2G37040	2:15557367-15560755:-	fgenesh2_kg.4__1750__AT2G37040.1	Bra005221.1-P	Bo4g030910.1	AT2G37040.1
AT2G37060	2:15575996-15577916:+	scaffold_402342.1	NA	NA	AT2G37060.2
AT2G37070	2:15578344-15581338:+	Al_scaffold_0004_2223	NA	NA	AT2G37070.1
AT2G37090	2:15587394-15589369:-	scaffold_402345.1	NA	NA	AT2G37090.1
AT2G37100	2:15590741-15592282:+	fgenesh2_kg.4__1759__AT2G37100.1	NA	NA	AT2G37100.1
AT2G37110	2:15592552-15594033:+	scaffold_402347.1	NA	NA	AT2G37110.1
AT2G37120	2:15593964-15594961:-	scaffold_402348.1	NA	NA	AT2G37120.1
AT2G37130	2:15597921-15600154:-	fgenesh1_pg.C_scaffold_4001785	NA	Bo3g031520.1	AT2G37130.1
AT2G37150	2:15603142-15608587:-	fgenesh2_kg.4__1764__AT2G37150.1	Bra023101.1-P	Bo4g186690.1,Bo3g031530.1	AT2G37150.3
AT2G37160	2:15608697-15612934:+	fgenesh2_kg.4__1765__AT2G37160.1	NA	NA	AT2G37160.2
AT2G37170	2:15613368-15615022:-	fgenesh2_kg.4__1767__AT2G37170.1	NA	NA	AT2G37170.2
AT2G37180	2:15617635-15619155:+	scaffold_402354.1	NA	NA	AT2G37180.1
AT2G37190	2:15619206-15620156:-	scaffold_402355.1	Bra023104.1-P	Bo3g031560.1,Bo4g186700.1	AT2G37190.1
AT2G37195	2:15620257-15621880:+	scaffold_402356.1	Bra023106.1-P	Bo3g031580.1	AT2G37195.2
AT2G37200	2:15621815-15623160:-	scaffold_402357.1	Bra017203.1-P	NA	AT2G37200.2
AT2G37210	2:15623928-15627032:-	fgenesh2_kg.4__1773__AT2G37210.1	Bra017202.1-P	Bo3g031590.1	AT2G37210.2
AT2G37220	2:15634466-15636522:-	fgenesh2_kg.4__1774__AT2G37220.1	NA	Bo3g031610.1	AT2G37220.1
AT2G37230	2:15636897-15639768:-	scaffold_402360.1	NA	Bo3g031620.1	AT2G37230.1
AT2G37240	2:15639773-15641773:-	fgenesh2_kg.4__1776__AT2G37240.1	NA	NA	AT2G37240.1
AT2G37250	2:15641906-15644143:+	fgenesh2_kg.4__1777__AT2G37250.1	Bra023111.1-P	Bo3g031640.1	AT2G37250.1
AT2G37260	2:15644811-15647076:+	fgenesh2_kg.4__1778__AT2G37260.1	Bra005210.1-P	Bo4g030720.1	AT2G37260.1
AT2G37270	2:15647677-15649471:-	fgenesh2_kg.4__1779__AT2G37270.2	Bra005209.1-P	Bo4g186790.1	AT2G37270.1
AT2G37280	2:15650169-15656657:+	Al_scaffold_0004_2246	Bra005208.1-P,Bra005207.1-P,Bra017198.1-P	Bo4g186800.1	AT2G37280.3
AT2G37290	2:15656427-15661735:-	fgenesh2_kg.4__1781__AT2G37290.1	NA	NA	AT2G37290.2
AT2G37300	2:15662224-15664599:-	NA	Bra017197.1-P	Bo4g186810.1	AT2G37300.2
AT2G37310	2:15664800-15667115:-	scaffold_402370.1	Bra017196.1-P	Bo4g186830.1	AT2G37310.1
AT2G37320	2:15667139-15668851:+	fgenesh2_kg.4__1784__AT2G37320.1	Bra017195.1-P	Bo4g186840.1	AT2G37320.1
AT2G37330	2:15669131-15670187:+	scaffold_402372.1	Bra017194.1-P	Bo4g186850.1	AT2G37330.1
AT2G37360	2:15673410-15675920:-	fgenesh2_kg.4__1789__AT2G37360.1	Bra017193.1-P	Bo4g186860.1	AT2G37360.1
AT2G37370	2:15679107-15684718:+	fgenesh1_pm.C_scaffold_4001500	Bra017192.1-P	Bo4g186870.1	AT2G37370.1
AT2G37380	2:15686650-15688013:+	fgenesh2_kg.4__1791__AT2G37380.1	Bra005202.1-P	Bo4g030630.1	AT2G37380.1
AT2G37390	2:15694038-15695999:+	Al_scaffold_0004_2257	Bra005201.1-P,Bra017191.1-P	Bo4g186890.1,Bo4g030610.1	AT2G37390.1
AT2G37400	2:15695988-15697457:-	fgenesh2_kg.4__1792__AT2G37400.1	Bra017190.1-P	Bo4g186900.1	AT2G37400.1
AT2G37410	2:15697810-15699354:-	fgenesh2_kg.4__1793__AT2G37410.1	NA	NA	AT2G37410.1
AT2G37420	2:15700211-15705362:+	fgenesh2_kg.4__1795__AT2G37420.1	Bra017189.1-P	Bo4g186910.1	AT2G37420.2
AT2G37430	2:15706285-15707224:+	fgenesh2_kg.4__1796__AT2G37430.1	Bra017188.1-P	Bo4g186920.1	AT2G37430.1
